,exp_step,wall_time,name,step,value
79,exp9_step1_finetune_2024-07-30-12-39,1722343498.917281,valid_acc,1,0.7296134233474731
80,exp9_step1_finetune_2024-07-30-12-39,1722343499.3003888,train_loss,38,0.00032277274294756353
81,exp9_step1_finetune_2024-07-30-12-39,1722343499.300478,train_acc,38,0.800000011920929
82,exp9_step1_finetune_2024-07-30-12-39,1722343505.2519174,train_loss,39,0.0006950554670765996
83,exp9_step1_finetune_2024-07-30-12-39,1722343505.2519627,train_acc,39,0.6089636087417603
84,exp9_step1_finetune_2024-07-30-12-39,1722343511.1725183,train_loss,40,0.00048081440036185086
85,exp9_step1_finetune_2024-07-30-12-39,1722343511.1725757,train_acc,40,0.671848714351654
86,exp9_step1_finetune_2024-07-30-12-39,1722343517.118189,train_loss,41,0.0006499248556792736
87,exp9_step1_finetune_2024-07-30-12-39,1722343517.1182303,train_acc,41,0.406862735748291
88,exp9_step1_finetune_2024-07-30-12-39,1722343523.1141605,train_loss,42,0.0005426444695331156
89,exp9_step1_finetune_2024-07-30-12-39,1722343523.1142073,train_acc,42,0.745658278465271
90,exp9_step1_finetune_2024-07-30-12-39,1722343529.0901754,train_loss,43,0.0005634351400658488
91,exp9_step1_finetune_2024-07-30-12-39,1722343529.0902147,train_acc,43,0.5878151059150696
92,exp9_step1_finetune_2024-07-30-12-39,1722343535.0285354,train_loss,44,0.0006787621532566845
93,exp9_step1_finetune_2024-07-30-12-39,1722343535.0285892,train_acc,44,0.4582633078098297
94,exp9_step1_finetune_2024-07-30-12-39,1722343540.9439158,train_loss,45,0.0005336768226698041
95,exp9_step1_finetune_2024-07-30-12-39,1722343540.943956,train_acc,45,0.8157563209533691
96,exp9_step1_finetune_2024-07-30-12-39,1722343546.9703317,train_loss,46,0.00035312515683472157
97,exp9_step1_finetune_2024-07-30-12-39,1722343546.9703867,train_acc,46,0.7601540684700012
98,exp9_step1_finetune_2024-07-30-12-39,1722343553.0262547,train_loss,47,0.0005894476780667901
99,exp9_step1_finetune_2024-07-30-12-39,1722343553.0262957,train_acc,47,0.6058823466300964
100,exp9_step1_finetune_2024-07-30-12-39,1722343559.049524,train_loss,48,0.0005885863211005926
101,exp9_step1_finetune_2024-07-30-12-39,1722343559.0495665,train_acc,48,0.6817227005958557
102,exp9_step1_finetune_2024-07-30-12-39,1722343565.0555956,train_loss,49,0.0007977248751558363
103,exp9_step1_finetune_2024-07-30-12-39,1722343565.0556364,train_acc,49,0.49908962845802307
104,exp9_step1_finetune_2024-07-30-12-39,1722343571.050642,train_loss,50,0.0004918910562992096
105,exp9_step1_finetune_2024-07-30-12-39,1722343571.0506823,train_acc,50,0.5654061436653137
106,exp9_step1_finetune_2024-07-30-12-39,1722343577.0649118,train_loss,51,0.0004552052414510399
107,exp9_step1_finetune_2024-07-30-12-39,1722343577.0649545,train_acc,51,0.576890766620636
108,exp9_step1_finetune_2024-07-30-12-39,1722343583.0350094,train_loss,52,0.0007076851325109601
109,exp9_step1_finetune_2024-07-30-12-39,1722343583.0350618,train_acc,52,0.5016806721687317
110,exp9_step1_finetune_2024-07-30-12-39,1722343589.047864,train_loss,53,0.0005251248949207366
111,exp9_step1_finetune_2024-07-30-12-39,1722343589.0479078,train_acc,53,0.716246485710144
112,exp9_step1_finetune_2024-07-30-12-39,1722343595.0140104,train_loss,54,0.0005246612126938999
113,exp9_step1_finetune_2024-07-30-12-39,1722343595.0140514,train_acc,54,0.6578431129455566
114,exp9_step1_finetune_2024-07-30-12-39,1722343601.0259194,train_loss,55,0.00034888030495494604
115,exp9_step1_finetune_2024-07-30-12-39,1722343601.0259786,train_acc,55,0.7189775705337524
116,exp9_step1_finetune_2024-07-30-12-39,1722343607.0486703,train_loss,56,0.00040761989657767117
117,exp9_step1_finetune_2024-07-30-12-39,1722343607.0487108,train_acc,56,0.6610644459724426
118,exp9_step1_finetune_2024-07-30-12-39,1722343663.4836218,valid_loss,2,0.00046409195056185126
119,exp9_step1_finetune_2024-07-30-12-39,1722343663.4836707,valid_acc,2,0.7529173493385315
120,exp9_step1_finetune_2024-07-30-12-39,1722343663.8410487,train_loss,57,0.0004926351830363274
121,exp9_step1_finetune_2024-07-30-12-39,1722343663.8411217,train_acc,57,0.5039215683937073
122,exp9_step1_finetune_2024-07-30-12-39,1722343669.7774818,train_loss,58,0.00043646813719533384
123,exp9_step1_finetune_2024-07-30-12-39,1722343669.7775595,train_acc,58,0.7039215564727783
124,exp9_step1_finetune_2024-07-30-12-39,1722343675.7036777,train_loss,59,0.0003327470913063735
125,exp9_step1_finetune_2024-07-30-12-39,1722343675.7037177,train_acc,59,0.8606442809104919
126,exp9_step1_finetune_2024-07-30-12-39,1722343681.6878717,train_loss,60,0.0006439905264414847
127,exp9_step1_finetune_2024-07-30-12-39,1722343681.6879125,train_acc,60,0.5275910496711731
128,exp9_step1_finetune_2024-07-30-12-39,1722343687.6546516,train_loss,61,0.0005331223946996033
129,exp9_step1_finetune_2024-07-30-12-39,1722343687.6547003,train_acc,61,0.7890055775642395
130,exp9_step1_finetune_2024-07-30-12-39,1722343693.5824885,train_loss,62,0.00045635655988007784
131,exp9_step1_finetune_2024-07-30-12-39,1722343693.5825303,train_acc,62,0.6333333253860474
132,exp9_step1_finetune_2024-07-30-12-39,1722343699.561148,train_loss,63,0.00041575010982342064
133,exp9_step1_finetune_2024-07-30-12-39,1722343699.5612016,train_acc,63,0.6705882549285889
134,exp9_step1_finetune_2024-07-30-12-39,1722343705.5475178,train_loss,64,0.0005937290261499584
135,exp9_step1_finetune_2024-07-30-12-39,1722343705.5475712,train_acc,64,0.732492983341217
136,exp9_step1_finetune_2024-07-30-12-39,1722343711.5717323,train_loss,65,0.0003796418022830039
137,exp9_step1_finetune_2024-07-30-12-39,1722343711.5717726,train_acc,65,0.7735294103622437
138,exp9_step1_finetune_2024-07-30-12-39,1722343717.5810285,train_loss,66,0.0006103749037720263
139,exp9_step1_finetune_2024-07-30-12-39,1722343717.5810757,train_acc,66,0.7242296934127808
140,exp9_step1_finetune_2024-07-30-12-39,1722343723.6480215,train_loss,67,0.0005321674980223179
141,exp9_step1_finetune_2024-07-30-12-39,1722343723.6480637,train_acc,67,0.6298319101333618
142,exp9_step1_finetune_2024-07-30-12-39,1722343729.641043,train_loss,68,0.0006420657155103981
143,exp9_step1_finetune_2024-07-30-12-39,1722343729.6410878,train_acc,68,0.6679971814155579
144,exp9_step1_finetune_2024-07-30-12-39,1722343735.6569786,train_loss,69,0.0004812705155927688
145,exp9_step1_finetune_2024-07-30-12-39,1722343735.6570206,train_acc,69,0.7584033608436584
146,exp9_step1_finetune_2024-07-30-12-39,1722343741.6952646,train_loss,70,0.0007231641211546957
147,exp9_step1_finetune_2024-07-30-12-39,1722343741.695306,train_acc,70,0.6702380776405334
148,exp9_step1_finetune_2024-07-30-12-39,1722343747.662961,train_loss,71,0.0005288941320031881
149,exp9_step1_finetune_2024-07-30-12-39,1722343747.663004,train_acc,71,0.6389355659484863
150,exp9_step1_finetune_2024-07-30-12-39,1722343753.6530242,train_loss,72,0.00043521716725081205
151,exp9_step1_finetune_2024-07-30-12-39,1722343753.6530654,train_acc,72,0.7518207430839539
152,exp9_step1_finetune_2024-07-30-12-39,1722343759.6072786,train_loss,73,0.0004917062469758093
153,exp9_step1_finetune_2024-07-30-12-39,1722343759.6073203,train_acc,73,0.711204469203949
154,exp9_step1_finetune_2024-07-30-12-39,1722343765.5750756,train_loss,74,0.00042466717422939837
155,exp9_step1_finetune_2024-07-30-12-39,1722343765.5751154,train_acc,74,0.6519607901573181
156,exp9_step1_finetune_2024-07-30-12-39,1722343771.5528793,train_loss,75,0.0005352661828510463
157,exp9_step1_finetune_2024-07-30-12-39,1722343771.5529325,train_acc,75,0.6964985728263855
158,exp9_step1_finetune_2024-07-30-12-39,1722343827.5247543,valid_loss,3,0.0004474513989407569
159,exp9_step1_finetune_2024-07-30-12-39,1722343827.5248032,valid_acc,3,0.7625910043716431
160,exp9_step1_finetune_2024-07-30-12-39,1722343827.904727,train_loss,76,0.0004877190513070673
161,exp9_step1_finetune_2024-07-30-12-39,1722343827.904805,train_acc,76,0.6960784196853638
162,exp9_step1_finetune_2024-07-30-12-39,1722343833.840772,train_loss,77,0.0006618595798499882
163,exp9_step1_finetune_2024-07-30-12-39,1722343833.840843,train_acc,77,0.47492995858192444
164,exp9_step1_finetune_2024-07-30-12-39,1722343839.7750967,train_loss,78,0.0005720514454878867
165,exp9_step1_finetune_2024-07-30-12-39,1722343839.7751358,train_acc,78,0.6075630187988281
166,exp9_step1_finetune_2024-07-30-12-39,1722343845.6680546,train_loss,79,0.000740772346034646
167,exp9_step1_finetune_2024-07-30-12-39,1722343845.6680954,train_acc,79,0.6004201769828796
168,exp9_step1_finetune_2024-07-30-12-39,1722343851.5794847,train_loss,80,0.0007253288058564067
169,exp9_step1_finetune_2024-07-30-12-39,1722343851.5795264,train_acc,80,0.6722689270973206
170,exp9_step1_finetune_2024-07-30-12-39,1722343857.5320914,train_loss,81,0.000618980557192117
171,exp9_step1_finetune_2024-07-30-12-39,1722343857.5321329,train_acc,81,0.673109233379364
172,exp9_step1_finetune_2024-07-30-12-39,1722343863.5431774,train_loss,82,0.0005053787608630955
173,exp9_step1_finetune_2024-07-30-12-39,1722343863.5432496,train_acc,82,0.6507002711296082
174,exp9_step1_finetune_2024-07-30-12-39,1722343869.5773597,train_loss,83,0.0004945068503729999
175,exp9_step1_finetune_2024-07-30-12-39,1722343869.577402,train_acc,83,0.7051820755004883
176,exp9_step1_finetune_2024-07-30-12-39,1722343875.5727522,train_loss,84,0.0006416291580535471
177,exp9_step1_finetune_2024-07-30-12-39,1722343875.5727954,train_acc,84,0.6690475940704346
178,exp9_step1_finetune_2024-07-30-12-39,1722343881.6298542,train_loss,85,0.0006451692897826433
179,exp9_step1_finetune_2024-07-30-12-39,1722343881.6298969,train_acc,85,0.6848739385604858
180,exp9_step1_finetune_2024-07-30-12-39,1722343887.6531272,train_loss,86,0.000388414686312899
181,exp9_step1_finetune_2024-07-30-12-39,1722343887.653181,train_acc,86,0.781232476234436
182,exp9_step1_finetune_2024-07-30-12-39,1722343893.6760125,train_loss,87,0.000503221177496016
183,exp9_step1_finetune_2024-07-30-12-39,1722343893.6760533,train_acc,87,0.7764706015586853
184,exp9_step1_finetune_2024-07-30-12-39,1722343899.686291,train_loss,88,0.000604031840339303
185,exp9_step1_finetune_2024-07-30-12-39,1722343899.6863372,train_acc,88,0.5717086791992188
186,exp9_step1_finetune_2024-07-30-12-39,1722343905.7161224,train_loss,89,0.0004572675679810345
187,exp9_step1_finetune_2024-07-30-12-39,1722343905.7161624,train_acc,89,0.7327030897140503
188,exp9_step1_finetune_2024-07-30-12-39,1722343911.7445111,train_loss,90,0.0005572056979872286
189,exp9_step1_finetune_2024-07-30-12-39,1722343911.744558,train_acc,90,0.7016806602478027
